Number of nodes 5890 
     0 : -5.5067796e+00  3.6042055e+01 
     1 : -5.4541944e+00  3.5907890e+01 
     2 : -5.4804568e+00  3.5974978e+01 
     3 :  2.6167806e+01  4.0062416e+01 
     4 :  2.8979860e+01  4.1249473e+01 
     5 :  2.9212474e+01  4.1227862e+01 
     6 :  3.2411639e+01  3.1207889e+01 
     7 :  1.5000986e+01  3.6699161e+01 
     8 :  8.5554517e+00  3.9041259e+01 
     9 :  3.3021388e+01  3.4666038e+01 
    10 :  9.0881701e+00  4.1444640e+01 
    11 :  2.4837538e+01  3.4962917e+01 
    12 :  2.4480983e+01  3.7978393e+01 
    13 :  3.0879314e+00  3.9329249e+01 
    14 :  2.6371638e+01  3.8986553e+01 
    15 :  2.7920515e+01  3.5997345e+01 
    16 :  2.6065306e+01  3.8227465e+01 
    17 :  2.0379212e+01  3.8213255e+01 
    18 :  4.0934905e+00  3.9876512e+01 
    19 :  1.9981547e+01  3.9428615e+01 
    20 :  1.5571118e+00  3.9062899e+01 
    21 :  1.0875260e+01  3.3856597e+01 
    22 :  2.5225664e+01  3.9981701e+01 
    23 :  2.7003916e+01  3.7758339e+01 
    24 :  2.5571653e+01  3.7067282e+01 
    25 :  2.0701659e+01  3.7784986e+01 
    26 :  1.4334105e+01  4.4900210e+01 
    27 :  2.4627787e+01  4.0630946e+01 
    28 :  2.4974027e+01  3.7778551e+01 
    29 :  2.3485846e+01  3.9979133e+01 
    30 :  2.7128522e+01  3.5538670e+01 
    31 :  2.3028105e+01  3.6234069e+01 
    32 : -5.3725265e+00  3.6160521e+01 
    33 : -5.2678706e+00  3.6296937e+01 
    34 : -5.1387503e+00  3.6416664e+01 
    35 : -4.9556261e+00  3.6483336e+01 
    36 : -4.7576270e+00  3.6499740e+01 
    37 : -4.5838410e+00  3.6573186e+01 
    38 : -4.4370784e+00  3.6683825e+01 
    39 : -4.2436992e+00  3.6716510e+01 
    40 : -4.0437522e+00  3.6737792e+01 
    41 : -3.8422172e+00  3.6740058e+01 
    42 : -3.6406523e+00  3.6737415e+01 
    43 : -3.4438122e+00  3.6703659e+01 
    44 : -3.2497559e+00  3.6744775e+01 
    45 : -3.0479718e+00  3.6746857e+01 
